City;Population;Lat1;Long1;Lat2;Long2;Lat2 relative;Long2 relative
Arden;2500;56.77596648;9.851719558;56.76253165;9.877200888;0.013434831;0.02548133
Løgstør;4500;56.98472716;9.211971517;56.91436611;9.352592283;0.070361053;0.140620765
Ranum;800;56.91315002;9.158464455;56.81275279;9.382356411;0.100397232;0.223891956
Als;900;56.77973164;10.22410233;56.72177878;10.34429432;0.057952865;0.120191995
Øster hurup;800;56.82281175;10.23606525;56.78181061;10.30054862;0.041001145;0.064483366
Ejstrupholm;1600;56.0352787;9.201436121;55.94619089;9.352392573;0.089087813;0.150956452
Næsbjerg;760;55.63261777;8.579115535;55.5877362;8.830993978;0.044881561;0.251878443
Løgumkloster;3000;55.08234544;8.911954433;55.0433577;8.986968236;0.038987743;0.075013803
Rødding;2500;55.38311777;9.014206827;55.34917643;9.08892077;0.033941336;0.074713943
Guderup;2000;54.99828164;9.851860189;54.98643736;9.877935246;0.01184428;0.026075057
Brenderup;1300;55.50554347;9.92776329;55.46770308;10.02927675;0.037840386;0.101513462
Glamsbjerg;3000;55.2941828;10.07023833;55.26172153;10.14681866;0.032461275;0.076580331
Kværndrup;1600;55.18734716;10.48916091;55.16767815;10.56254254;0.019669009;0.073381632
Rødkærsbro;2000;56.37417427;9.454609843;56.33390846;9.543615286;0.040265808;0.089005443
Ansager;1200;55.71610125;8.716460862;55.68479464;8.797736518;0.031306618;0.081275656
Sommersted;1100;55.33194004;9.254990149;55.3050114;9.340381028;0.026928642;0.085390879
Tingslev;2700;54.95312064;9.212036815;54.9141097;9.288168443;0.039010933;0.076131627
Gislev;1200;55.23291761;10.56899235;55.19764084;10.65046962;0.035276769;0.08147726
Fuglebjerg;2200;55.33521695;11.48669056;55.2790827;11.59396533;0.056134253;0.107274767
